@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8}
@attribute outputs-2 {0,1,2,3,4,5,6,7,8}
@attribute outputs-3 {0,1,2,3,4,5,6,7,8}

@data
96,'2020/12/18 11:46:20:852',3,-1.844115,6.476857,7.128805,8,0,3.566463,315.99939,363.668091,0.16266,0.061594,0.129977,12.927843,0.73932,2.770679,2.878261,4.478559,4.654369,23.712969,6.814541,2,?,?
97,'2020/12/18 11:46:20:919',3,-1.844115,6.476857,7.128805,8,0,3.566463,315.99939,363.668091,0.16266,0.061594,0.129977,12.927843,0.73932,2.770679,2.878261,4.478559,4.654369,23.712969,6.814541,2,?,?
98,'2020/12/18 11:46:20:985',3,-1.864361,6.506958,7.096051,8,0,3.566463,315.99939,363.668091,0.16266,0.061594,0.129977,12.927843,0.73932,2.770679,2.878261,4.478559,4.654369,23.712969,6.814541,2,?,?
99,'2020/12/18 11:46:21:057',3,-1.864361,6.506958,7.096051,8,0,3.566463,315.99939,363.668091,0.16266,0.061594,0.129977,12.927843,0.73932,2.770679,2.878261,4.478559,4.654369,23.712969,6.814541,2,?,?
100,'2020/12/18 11:46:21:122',3,-1.864361,6.506958,7.096051,8,0,3.566463,315.99939,363.668091,0.16266,0.061594,0.129977,12.927843,0.73932,2.770679,2.878261,4.478559,4.654369,23.712969,6.814541,2,?,?
101,'2020/12/18 11:46:21:182',3,-1.853379,6.506958,7.096051,8,0,3.566463,315.99939,363.668091,0.16266,0.061594,0.129977,12.927843,0.73932,2.770679,2.878261,4.478559,4.654369,23.712969,6.814541,2,?,?
102,'2020/12/18 11:46:21:254',3,-1.853379,6.498283,7.106872,8,0,3.566463,315.99939,363.668091,0.16266,0.061594,0.129977,12.927843,0.73932,2.770679,2.878261,4.478559,4.654369,23.712969,6.814541,2,?,?
103,'2020/12/18 11:46:21:323',3,-1.853379,6.498283,7.106872,8,0,3.566463,315.99939,363.668091,0.16266,0.061594,0.129977,12.927843,0.73932,2.770679,2.878261,4.478559,4.654369,23.712969,6.814541,2,?,?
104,'2020/12/18 11:46:21:376',3,-1.853379,6.498283,7.106872,8,0,3.566463,315.99939,363.668091,0.16266,0.061594,0.129977,12.927843,0.73932,2.770679,2.878261,4.478559,4.654369,23.712969,6.814541,2,?,?
105,'2020/12/18 11:46:21:424',3,-1.853379,6.498283,7.106872,8,0,3.566463,315.99939,363.668091,0.16266,0.061594,0.129977,12.927843,0.73932,2.770679,2.878261,4.478559,4.654369,23.712969,6.814541,2,?,?
106,'2020/12/18 11:46:21:477',3,-1.853379,6.498283,7.106872,8,0,3.566463,315.99939,363.668091,0.16266,0.061594,0.129977,12.927843,0.73932,2.770679,2.878261,4.478559,4.654369,23.712969,6.814541,2,?,?
107,'2020/12/18 11:46:21:539',3,-1.890876,6.507215,7.088796,8,0,3.566463,315.99939,363.668091,0.16266,0.061594,0.129977,12.927843,0.73932,2.770679,2.878261,4.478559,4.654369,23.712969,6.814541,2,?,?
108,'2020/12/18 11:46:21:589',3,-1.890876,6.507215,7.088796,8,0,3.566463,315.99939,363.668091,0.16266,0.061594,0.129977,12.927843,0.73932,2.770679,2.878261,4.478559,4.654369,23.712969,6.814541,2,?,?
